url_path,views_total,views_unique
/kingsdigitallab/layers-of-vision,118,7
/kingsdigitallab/layers-of-vision/tree/main/frontend,98,6
/kingsdigitallab/layers-of-vision/tree/main/frontend/people,98,6
/kingsdigitallab/layers-of-vision/actions,65,6
/kingsdigitallab/layers-of-vision/tree/main/frontend/assets,45,5
/kingsdigitallab/layers-of-vision/blob/main/frontend/people/02-msmithen.md,38,5
/kingsdigitallab/layers-of-vision/blob/main/frontend/people/01-braffaella.md,30,4
/kingsdigitallab/layers-of-vision/tree/main/frontend/assets/img/artists,21,5
/kingsdigitallab/layers-of-vision/blob/main/frontend/people/06-achristina-corrigan.md,21,2
/kingsdigitallab/layers-of-vision/tree/main/frontend/assets/audio,20,2
