url_path,views_total,views_unique
/kingsdigitallab/layers-of-vision,121,7
/kingsdigitallab/layers-of-vision/tree/main/frontend,102,6
/kingsdigitallab/layers-of-vision/tree/main/frontend/people,101,6
/kingsdigitallab/layers-of-vision/actions,67,6
/kingsdigitallab/layers-of-vision/tree/main/frontend/assets,47,5
/kingsdigitallab/layers-of-vision/blob/main/frontend/people/02-msmithen.md,38,5
/kingsdigitallab/layers-of-vision/blob/main/frontend/people/01-braffaella.md,30,4
/kingsdigitallab/layers-of-vision/tree/main/frontend/assets/img/artists,23,5
/kingsdigitallab/layers-of-vision/blob/main/frontend/people/06-achristina-corrigan.md,21,2
/kingsdigitallab/layers-of-vision/tree/main/frontend/assets/audio,20,2
